YEAR,MOVED_TO_PARENT_FRAC,MOVED_TO_POB_FRAC,HH_MOVED_TO_POB_FRAC
2016,6.5578054670932655,1.8720229036911662,5.943968505690435
2017,6.408587200444606,1.8538436794036266,6.017544295175277
2018,6.337853476796666,1.926137309490299,6.364870592204206
2019,6.198626246638544,1.9670159282828792,6.256899826292503
2020,6.93136725861903,1.9128351802226662,7.030742089349115
2021,6.164787996142038,2.051526210173862,7.324916524921118
