cbsa_code,cbsa_title,metro_area,county_fips,county_name
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,17097,"Lake County, Illinois"
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,17111,"McHenry County, Illinois"
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,17197,"Will County, Illinois"
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,18073,"Jasper County, Indiana"
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,18089,"Lake County, Indiana"
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,18111,"Newton County, Indiana"
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,18127,"Porter County, Indiana"
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,55059,"Kenosha County, Wisconsin"
17020,"Chico, CA",1,06007,"Butte County, California"
17060,"Chillicothe, OH",0,39141,"Ross County, Ohio"
17140,"Cincinnati, OH-KY-IN",1,18029,"Dearborn County, Indiana"
17140,"Cincinnati, OH-KY-IN",1,18047,"Franklin County, Indiana"
17140,"Cincinnati, OH-KY-IN",1,18115,"Ohio County, Indiana"
17140,"Cincinnati, OH-KY-IN",1,18161,"Union County, Indiana"
17140,"Cincinnati, OH-KY-IN",1,21015,"Boone County, Kentucky"
17140,"Cincinnati, OH-KY-IN",1,21023,"Bracken County, Kentucky"
17140,"Cincinnati, OH-KY-IN",1,21037,"Campbell County, Kentucky"
17140,"Cincinnati, OH-KY-IN",1,21077,"Gallatin County, Kentucky"
17140,"Cincinnati, OH-KY-IN",1,21081,"Grant County, Kentucky"
17140,"Cincinnati, OH-KY-IN",1,21117,"Kenton County, Kentucky"
17140,"Cincinnati, OH-KY-IN",1,21191,"Pendleton County, Kentucky"
17140,"Cincinnati, OH-KY-IN",1,39015,"Brown County, Ohio"
17140,"Cincinnati, OH-KY-IN",1,39017,"Butler County, Ohio"
17140,"Cincinnati, OH-KY-IN",1,39025,"Clermont County, Ohio"
17140,"Cincinnati, OH-KY-IN",1,39061,"Hamilton County, Ohio"
17140,"Cincinnati, OH-KY-IN",1,39165,"Warren County, Ohio"
17220,"Clarksburg, WV",0,54017,"Doddridge County, West Virginia"
17220,"Clarksburg, WV",0,54033,"Harrison County, West Virginia"
17220,"Clarksburg, WV",0,54091,"Taylor County, West Virginia"
17260,"Clarksdale, MS",0,28027,"Coahoma County, Mississippi"
17300,"Clarksville, TN-KY",1,21047,"Christian County, Kentucky"
17300,"Clarksville, TN-KY",1,21221,"Trigg County, Kentucky"
17300,"Clarksville, TN-KY",1,47125,"Montgomery County, Tennessee"
17300,"Clarksville, TN-KY",1,47161,"Stewart County, Tennessee"
17340,"Clearlake, CA",0,06033,"Lake County, California"
17380,"Cleveland, MS",0,28011,"Bolivar County, Mississippi"
17420,"Cleveland, TN",1,47011,"Bradley County, Tennessee"
17420,"Cleveland, TN",1,47139,"Polk County, Tennessee"
17460,"Cleveland-Elyria, OH",1,39035,"Cuyahoga County, Ohio"
17460,"Cleveland-Elyria, OH",1,39055,"Geauga County, Ohio"
17460,"Cleveland-Elyria, OH",1,39085,"Lake County, Ohio"
17460,"Cleveland-Elyria, OH",1,39093,"Lorain County, Ohio"
17460,"Cleveland-Elyria, OH",1,39103,"Medina County, Ohio"
17500,"Clewiston, FL",0,12051,"Hendry County, Florida"
17540,"Clinton, IA",0,19045,"Clinton County, Iowa"
17580,"Clovis, NM",0,35009,"Curry County, New Mexico"
17620,"Coamo, PR",0,72043,"Coamo Municipio, Puerto Rico"
17640,"Coco, PR",0,72123,"Salinas Municipio, Puerto Rico"
17660,"Coeur d'Alene, ID",1,16055,"Kootenai County, Idaho"
17700,"Coffeyville, KS",0,20125,"Montgomery County, Kansas"
17740,"Coldwater, MI",0,26023,"Branch County, Michigan"
17780,"College Station-Bryan, TX",1,48041,"Brazos County, Texas"
17780,"College Station-Bryan, TX",1,48051,"Burleson County, Texas"
17780,"College Station-Bryan, TX",1,48395,"Robertson County, Texas"
