"Column Name","Label"
"B25032_020EA","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!20 to 49"
"B25032_020M","Margin of Error!!Total:!!Renter-occupied housing units:!!20 to 49"
"B25032_020MA","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!20 to 49"
"B25032_021E","Estimate!!Total:!!Renter-occupied housing units:!!50 or more"
"B25032_021EA","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!50 or more"
"B25032_021M","Margin of Error!!Total:!!Renter-occupied housing units:!!50 or more"
"B25032_021MA","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!50 or more"
"B25032_022E","Estimate!!Total:!!Renter-occupied housing units:!!Mobile home"
"B25032_022EA","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!Mobile home"
"B25032_022M","Margin of Error!!Total:!!Renter-occupied housing units:!!Mobile home"
"B25032_022MA","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!Mobile home"
"B25032_023E","Estimate!!Total:!!Renter-occupied housing units:!!Boat, RV, van, etc."
"B25032_023M","Margin of Error!!Total:!!Renter-occupied housing units:!!Boat, RV, van, etc."
"B25032_023MA","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!Boat, RV, van, etc."
"B25032_023EA","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!Boat, RV, van, etc."
