"state","puma12","cbsa20","stab","CBSAName20","PUMA12name","pop20","afact2","afact"
"State code","PUMA (2012)","Core-based statistical area code","State abbr.","2020 CBSA name","PUMA12 name","Total population (2020 Census)","cbsa20-to-puma12 allocation factor","puma12-to-cbsa20 allocation factor"
"02","00200","11260","AK","Anchorage, AK","Matanuska-Susitna & Kenai Peninsula Boroughs",106971,0.2685,0.6452 
"02","00200","99999","AK","[not in a CBSA]","Matanuska-Susitna & Kenai Peninsula Boroughs",58820,0.0033,0.3548 
"02","00300","21820","AK","Fairbanks, AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",95592,0.9993,0.5855 
"02","00300","27940","AK","Juneau, AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",32232,0.9993,0.1974 
"02","00300","28540","AK","Ketchikan, AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",13948,1,0.0854 
"02","00300","99999","AK","[not in a CBSA]","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",21507,0.0012,0.1317 
"02","00400","21820","AK","Fairbanks, AK","Subsistence Alaska",63,0.0007,0.0006 
"02","00400","27940","AK","Juneau, AK","Subsistence Alaska",23,0.0007,0.0002 
"02","00400","99999","AK","[not in a CBSA]","Subsistence Alaska",112877,0.0063,0.9992 
"04","00100","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Gilbert (South) & Queen Creek Towns",179340,0.037,1 
"04","00101","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Mesa City (East)",186095,0.0384,1 
"04","00102","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Mesa City (North Central)",144066,0.0297,1 
"04","00103","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Mesa City (West)",114776,0.0237,1 
"04","00104","38060","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Mesa City (South Central)",106653,0.022,1 
