"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"310M500US13820","Birmingham-Hoover, AL Metro Area","165200","1218","null","null",
"310M500US13900","Bismarck, ND Metro Area","249000","3897","null","null",
"310M500US13940","Blackfoot, ID Micro Area","160100","4540","null","null",
"310M500US13980","Blacksburg-Christiansburg, VA Metro Area","182600","5323","null","null",
"310M500US14010","Bloomington, IL Metro Area","167000","1910","null","null",
"310M500US14020","Bloomington, IN Metro Area","166400","3298","null","null",
"310M500US14100","Bloomsburg-Berwick, PA Metro Area","158300","2621","null","null",
"310M500US14140","Bluefield, WV-VA Micro Area","98800","3170","null","null",
"310M500US14180","Blytheville, AR Micro Area","84500","4007","null","null",
"310M500US14220","Bogalusa, LA Micro Area","101000","8886","null","null",
"310M500US14260","Boise City, ID Metro Area","239900","2592","null","null",
"310M500US14300","Bonham, TX Micro Area","123100","6222","null","null",
"310M500US14380","Boone, NC Micro Area","238000","7932","null","null",
"310M500US14420","Borger, TX Micro Area","78800","3817","null","null",
"310M500US14460","Boston-Cambridge-Newton, MA-NH Metro Area","437500","1325","null","null",
"310M500US14500","Boulder, CO Metro Area","497300","6119","null","null",
"310M500US14540","Bowling Green, KY Metro Area","151000","3932","null","null",
"310M500US14580","Bozeman, MT Micro Area","357100","8353","null","null",
"310M500US14620","Bradford, PA Micro Area","80400","2201","null","null",
"310M500US14660","Brainerd, MN Micro Area","197200","3216","null","null",
"310M500US14700","Branson, MO Micro Area","139800","7137","null","null",
"310M500US14720","Breckenridge, CO Micro Area","579600","30546","null","null",
"310M500US14740","Bremerton-Silverdale-Port Orchard, WA Metro Area","329900","4477","null","null",
"310M500US14780","Brenham, TX Micro Area","179100","11987","null","null",
"310M500US14820","Brevard, NC Micro Area","221900","10389","null","null",
"310M500US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","428500","3954","null","null",
"310M500US15020","Brookhaven, MS Micro Area","99500","9086","null","null",
"310M500US15060","Brookings, OR Micro Area","265400","14781","null","null",
"310M500US15100","Brookings, SD Micro Area","179000","5903","null","null",
"310M500US15140","Brownsville, TN Micro Area","100700","8360","null","null",
"310M500US15180","Brownsville-Harlingen, TX Metro Area","85800","1364","null","null",
"310M500US15220","Brownwood, TX Micro Area","102500","6134","null","null",
"310M500US15260","Brunswick, GA Metro Area","155300","5746","null","null",
"310M500US15340","Bucyrus-Galion, OH Micro Area","88400","2608","null","null",
"310M500US15380","Buffalo-Cheektowaga, NY Metro Area","148500","941","null","null",
"310M500US15420","Burley, ID Micro Area","154900","4335","null","null",
"310M500US15460","Burlington, IA-IL Micro Area","104100","5620","null","null",
"310M500US15500","Burlington, NC Metro Area","154800","2576","null","null",
"310M500US15540","Burlington-South Burlington, VT Metro Area","275600","3275","null","null",
"310M500US15580","Butte-Silver Bow, MT Micro Area","149800","6571","null","null",
"310M500US15620","Cadillac, MI Micro Area","111900","2810","null","null",
"310M500US15660","Calhoun, GA Micro Area","136000","8028","null","null",
"310M500US15680","California-Lexington Park, MD Metro Area","301300","7297","null","null",
"310M500US15700","Cambridge, MD Micro Area","183300","11430","null","null",
"310M500US15740","Cambridge, OH Micro Area","114700","4635","null","null",
"310M500US15780","Camden, AR Micro Area","74200","4380","null","null",
"310M500US15820","Campbellsville, KY Micro Area","107200","5705","null","null",
"310M500US15860","Cañon City, CO Micro Area","174000","5810","null","null",
"310M500US15940","Canton-Massillon, OH Metro Area","133900","1342","null","null",
"310M500US15980","Cape Coral-Fort Myers, FL Metro Area","224800","2131","null","null",
"310M500US16020","Cape Girardeau, MO-IL Metro Area","150800","3468","null","null",
"310M500US16060","Carbondale-Marion, IL Metro Area","111800","3005","null","null",
"310M500US16100","Carlsbad-Artesia, NM Micro Area","155900","4607","null","null",
"310M500US16140","Carroll, IA Micro Area","138900","6071","null","null",
"310M500US16180","Carson City, NV Metro Area","273800","7926","null","null",
"310M500US16220","Casper, WY Metro Area","208700","5138","null","null",
"310M500US16260","Cedar City, UT Micro Area","213600","7899","null","null",
"310M500US16300","Cedar Rapids, IA Metro Area","155800","1837","null","null",
"310M500US16340","Cedartown, GA Micro Area","110700","7270","null","null",
"310M500US16380","Celina, OH Micro Area","153800","5461","null","null",
"310M500US16420","Central City, KY Micro Area","93900","6069","null","null",
"310M500US16460","Centralia, IL Micro Area","77900","2540","null","null",
"310M500US16500","Centralia, WA Micro Area","209600","7299","null","null",
"310M500US16540","Chambersburg-Waynesboro, PA Metro Area","180400","2818","null","null",
"310M500US16580","Champaign-Urbana, IL Metro Area","159700","2521","null","null",
"310M500US16620","Charleston, WV Metro Area","107600","2521","null","null",
"310M500US16660","Charleston-Mattoon, IL Micro Area","101500","3722","null","null",
"310M500US16700","Charleston-North Charleston, SC Metro Area","236700","2429","null","null",
"310M500US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","200000","1446","null","null",
"310M500US16820","Charlottesville, VA Metro Area","291100","4494","null","null",
"310M500US16860","Chattanooga, TN-GA Metro Area","163100","1644","null","null",
"310M500US16940","Cheyenne, WY Metro Area","227900","5083","null","null",
"310M500US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","239600","635","null","null",
"310M500US17020","Chico, CA Metro Area","271700","5529","null","null",
"310M500US17060","Chillicothe, OH Micro Area","123800","4510","null","null",
"310M500US17140","Cincinnati, OH-KY-IN Metro Area","168900","791","null","null",
"310M500US17220","Clarksburg, WV Micro Area","116200","4158","null","null",
"310M500US17260","Clarksdale, MS Micro Area","68300","6517","null","null",
"310M500US17300","Clarksville, TN-KY Metro Area","154600","2025","null","null",
"310M500US17340","Clearlake, CA Micro Area","219400","9705","null","null",
"310M500US17380","Cleveland, MS Micro Area","96100","7665","null","null",
"310M500US17420","Cleveland, TN Metro Area","156300","3018","null","null",
"310M500US17460","Cleveland-Elyria, OH Metro Area","151600","725","null","null",
"310M500US17500","Clewiston, FL Micro Area","94500","7020","null","null",
"310M500US17540","Clinton, IA Micro Area","118100","3972","null","null",
"310M500US17580","Clovis, NM Micro Area","125000","7586","null","null",
"310M500US17620","Coamo, PR Micro Area","90700","4693","null","null",
"310M500US17640","Coco, PR Micro Area","83100","2664","null","null",
"310M500US17660","Coeur d'Alene, ID Metro Area","260300","6078","null","null",
"310M500US17700","Coffeyville, KS Micro Area","76200","4488","null","null",
