"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B07011_001E","Estimate!!Median income in the past 12 months --!!Total:"
"B07011_001EA","Annotation of Estimate!!Median income in the past 12 months --!!Total:"
"B07011_001M","Margin of Error!!Median income in the past 12 months --!!Total:"
"B07011_001MA","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:"
"B07011_002E","Estimate!!Median income in the past 12 months --!!Total:!!Same house 1 year ago"
"B07011_002EA","Annotation of Estimate!!Median income in the past 12 months --!!Total:!!Same house 1 year ago"
"B07011_002M","Margin of Error!!Median income in the past 12 months --!!Total:!!Same house 1 year ago"
"B07011_002MA","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:!!Same house 1 year ago"
"B07011_003E","Estimate!!Median income in the past 12 months --!!Total:!!Moved within same county"
"B07011_003EA","Annotation of Estimate!!Median income in the past 12 months --!!Total:!!Moved within same county"
"B07011_003M","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved within same county"
"B07011_003MA","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:!!Moved within same county"
"B07011_004E","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different county within same state"
"B07011_004EA","Annotation of Estimate!!Median income in the past 12 months --!!Total:!!Moved from different county within same state"
"B07011_004M","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different county within same state"
"B07011_004MA","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different county within same state"
"B07011_005E","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different state"
"B07011_005EA","Annotation of Estimate!!Median income in the past 12 months --!!Total:!!Moved from different state"
"B07011_005M","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different state"
"B07011_005MA","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different state"
"B07011_006E","Estimate!!Median income in the past 12 months --!!Total:!!Moved from abroad"
"B07011_006M","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from abroad"
"B07011_006MA","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from abroad"
"B07011_006EA","Annotation of Estimate!!Median income in the past 12 months --!!Total:!!Moved from abroad"
